Value,quí trọng,
grateful,biết hơn,
understand,hiểu
rulership,quyền cai trị,,
sovereignty,quyền (thống trị) tối thượng,,
theocracy,thần quyền,,
universal,toàn vũ trụ,,
Bible principles,nguyên tắc kinh thánh,,
violate,vi phạm,
yield,nhân nhượng,
conscience,lương tâm,,
cope with problems,đối phó với vấn đề,,
covenant,giao ước,,
Gods' organisation,tổ chức của Đức Chua Trời,,
great tribulation,hoạn nạn lớn,,
Jehovah's organisation,tổ chức của Giê-hô-va,,
League of Nations,Hội Quốc Liên,,
mediator,ngươi trung gian ,Đâng trung bảo (Jesus),
Mosaic Law,Luật Môi-se,,
nationalism,chủ nghĩa quốc gia,,
neutrality,sự trung lập,,
organisation,tổ chức,,
peer pressure,áp lực bạn đồng lứa,,
persecution,sự bắt bớ,,
Ten Commandments,mười điều răn,,
trial,sự thử thách,,
United Nations,Liên Hiệp Quốc,,
abortion,sự phá thai,,
advance medical directive/release,Thẻ Chỉ Dẫn Điều Trị / Miễn Tố,,
AIDS,bệnh SIDA,,
alcoholism,sự nghiện rượu ,,
blood transfusion,sự truyền máu,,
depression ,bệnh trầm cảm,,
drugs,thuốc,,
stress,căng thẳng,,
Awake!,Tỉnh Thưc!,,
Bethel,Bê-tên,,
Bethelite,Người ở nhà Bê-tên,,
book,sách,,
bound volume,sách,,
Branch Committee,Ủy Ban Chi Nhánh,,
brochure,sách mỏng,,
CD,CĐ,,
construction,sự xây cất,,
dictionary,từ điển / từ điển,,
DVD,ĐVĐ,,
Governing Body,Hội Đồng Lãnh Đạo Trung Ương,,
Our Kingdom Ministry,Tờ Thánh Chức Nước Trời,,
Literature Counter,Quày Sách,,
magazine,tạp chí,,
paragraph,đoạn,,
quickly built Kingdom Halls,Phòng Nước Trời xây cấp tốc,,
Society,Hội  ,,
song,bài hát / bài ca,,
songbook,sách bai hát / sách bài ca,,
tract,giấy mỏng,,
Wallkill,Wallkill,,
Watchtower,Tháp Canh,,
Watchtower Educational Centre,Trung Tâm Giáo Duc Tháp Canh,,
world headquarters,Trụ Sở Trung Ươung Quốc Tế ,,
Yearbook,sách niên giám,,
12 apostles,mười hai sứ đồ,,
"144,000",một trăm bốn mươi bốn ngàn người,,
Almighty,Toàn Năng,,
ancient Israel,Y-sơ-ra-ên thời xưa,,
angel,thiên sứ,,
anointed Christian,Tính Đồ Được Xức Dầu,,
anointed remnant,những người xức dầu còn sót lại,,
apostle ,sứ đồ,,
brother,Anh,,
brotherhood,tình anh em,,
demons,các quỉ,,
disciple,mồn đồ,,
faithful and discreet slave,đầy tớ trung tín và khôn ngoan ,,
forgiveness,sự tha thứ,,
fruitage of the spirit ,bông trái thánh linh,,
goat ,dê,,
great crowd,đám đông lơn,,
holy spirit,thánh linh,,
illustration ,minh họa,,
Israel,Y-sơ-ra-ên ,,
Jehovah God,Giê-hô-va Đức Chua Trời,,
Jesus Christ ,Chúa Giê-su Chríst,,
Jews,Người Do Thái,,
justice,công lý,,
little flock,bầy nhỏ,,
loving-kindness,yêu thương nhân từ,,
loyalty ,trung tín ,,
Messiah,Đấng Mê-si,,
neighbour,người lân cận,(of neighbourhood) người láng giềng,
only-begotten,con độc sanh,,
other sheep,chiên khác,,
righteousness,sự công bình,,
Satan the Devil,Sa-tan Ma-quỉ,,
Sermon on the Mount,Bai Giảng Trên Núi,,
Son of God,Con của Đức Chúa Trời,,
spiritual Israel,Y-sơ-ra-ên Thiêng Liêng,,
undeserved kindness,(protestant bible) ân điển,,
accurate knowledge ,sự hiểu biết chính xác,,
amen,amen,,
auxiliary pioneer,tiên phong phụ trợ,,
baptism,báp-têm,,
Bible student,học viên kinh thánh,,
blessing,ân phước,
bless,ban phước,
dedication,sự dân mình (personal),sự dân hiến (building),
discipline,sửa phạt / kỷ luật,,
door-to-door,từng nhà,,
faithfulness,sự trung thành,,
family study,học hỏi gia dình,,
family worship,buổi thờ phượng gia đình,,
field service,rao giảng,,
full-time service,thánh chức trọn thời gian,,
godly devotion,sự tin kính,,
good news,tin mừng,,
headship ,quyền làm đầu,,
home Bible study,học hỏi kinh thánh tại nhà,,
house-to-house,từng nhà,,
informal witnessing,rao giảng bán chính thức,,
integrity,sự trung kiên,,
Jehovah's Witnesses,Nhân Chứng Giê-hô-va,,
literature,sách báo / ấn phẩm,,
model prayer,lời cầu nguyện mẫu,,
meeting for field service ,nhóm họp rao giảng,,
minister,người phục vụ (to serve),bộ trưởng (Position of auth),
ministry,thánh chức ,,
missionary,giáo sĩ,,
obedience,sự vâng lời,,
offer,(like magazines) mời nhận,,
personal study,học hỏi cá nhân,,
pioneer,tiên phong,,
prayer,lời cầu nguyện,,
preaching ,rao giảng,,
presentation,lời trình bài,,
publisher,người công bố,,
regular pioneer,tiên phong đều đều,,
relationship with God,mối liên lạc vơi Đức Chúa Trời,,
repent,ăn năn,,
repentance,sự ăn năn,,
report,báo cáo,,
return visit,viếng thăm lại,,
righteous,công bình,,
servant,tôi tớ,,
street witnessing,rao giảng đường phó,,
study,học hỏi,,
subjection,sự vâng phục,,
territory,khu vực,,
unbaptised publisher,công bố chưa báp têm,,
uncleanness,sự ô uế,,
witnessing,làm chứng / rảo giảng,,
Babylon the Great,Ba-by-lôn lớn ,,
Bible ,Kinh Thánh,,
chapter,"Chương (some inacurately say ""đoạn"")",,
Christendom,khối đạo xưng theo Đấng Chríst,,
Christian,Tín đồ Đấng Christ,,
Christian Greek Scriptures,phần Kinh Thánh tiếng Hy Lạp,,
Christianity,đạo Đấng Christ,,
clergy ,hàng giáo phảm,,
common grave of mankind,mồ chung của nhân loại,,
creation,sự sáng tạo,,
Creator,Đấng Tạo Hóa,,
daily text,Tra xem Kinh Thánh Mỗi ngày,,
evolution,thuyết tiến hóa,,
false religion,tôn giáo sai lầm / tôn giáo giả,,
flood,trận nước lụt,,
God's Word,Lời của Đưc Chúa Trời,,
Hades,Hades,,
Hebrew Scriptures,phần Kinh Thánh tiếng Hê-bơ-rơ,,
immortality,bất tử,,
Passover,Lễ Vượt Qua,,
Pentecost,Lễ Ngũ Tuần,,
Pharisee,Pha-ri-si,,
priest,thầy tế lễ,,
priesthood,chức tế lễ,,
pure worship,sự thờ phượng thanh sạch,,
religion,tôn giáo ,,
Sabbath,Sa-bát,,
scripture,câu Kinh Thánh,,
Sheol,Sheol,,
soul,linh hồn,,
spiritism,ma thuật,,
torture stake,cây khổ hình ,,
truth,Sự Thật,
the truth,lẽ thật.,
verse,câu  ,,
adultery,ngoại tình,,
bad association,Bạn bè xấu,,
divorce,li dị,,
education,sự giáo dục ,,
entertainment,giải trí,,
fornication,tà dâm,,
homosexuality,đồng tính luyến ái,,
immorality,vô luân,,
marriage,hôn nhân,,
morality,đạo đức,,
recreation,giải trí,,
unbelieving mate,người hôn phối không tin,,
A.D. ,công nguyên,,
Armageddon,Ha-ma-gê-đôn,,
B.C.E ,trước công nguyên,,
C.E,công nguyên,,
chronology,theo niên đại,,
crime,tội ác,,
destruction,sự hủy diệt,,
earthquake,động đất,,
everlasting life,sự sống đời đơi,,
famine,đói kém,,
food shortage,đói kém,,
forever,mãi mãi / vĩnh viễn / vĩnh cữu / ,,
Gentile Times,thời dân ngoại,,
heaven,trời,,
judgment,sự phán xét,,
last days,ngày sau rốt / thời kỳ cuối cùng,,
new earth,đất mới,,
new heavens,trời mới,,
new system,hệ thống mới,,
no part of the world,không thuộc về thế gian,,
Paradise,địa đàng,,
paradise earth,địa đàng trên đất,,
pollution,ô nhiễm,,
presence,hiện diện,,
prophecy,tiên tri,,
Savior,Đấng cứu rổi,,
sign of the last days,điềm/dấu-hiều của ngày sau rốt,,
spirit of the world,tinh thần của thế gian,,
spiritual paradise,địa đàng thiêng liêng,,
symbolic,nghĩa tượng trưng / nghĩa bống,,
this system of things,hệ thống này,,
time of the end,thời kỳ cuối cùng,,
violence,hung bạo,,
war,chiến tranh ,,
a,một / cái,,
able,có thể (được),,
about,về (subject),khoảng (approximately),
account ,sự tính toán,,
acid,Axit,,
across,qua,,
act,hành động,,
addition,tính cộng (maths),sự thêm (also),
adjustment,điều chỉnh,,
advertisment,quảng cáo ,,
after,sau khi,,
again,"lại, lần nữa, nữa",,
against,chống lại / ngược lại / phản đối,,
agree,đồng ý,,
air,không khý,,
all,tất cả / hết / mọi,,
almost,gần,,
among,giữa,,
amount,"số lượng, số nhiều",,
amusement,"sự vui chơi; trò vui, trò giải trí, trò tiêu khiển",,
and,và,,
angle,độ,,
angry,giận,,
animal,thú vật,,
answer,trả lời,,
ant,con kiến,,
any,nào,bất cứ ,
apparatus,đồ thiết bị,,
apple,trái táo,,
approve,cháp nhận,tán thành,
arch,hình cung,,
argument,sự tranh cãi / sự tranh luận,,
arm,cánh tay,,
army,quân đội,,
art,tài khéo léo / kỹ xảo,,
as,như,,
at,tại / ở,,
attack,tấn công,,
attempt,"sự cố gắng, sự thử",,
attention,sự chú ý,,
attraction,sức hút,,
authority,"uy quyền, quyền lực, quyền thế",,
automatic,tự động,,
awake,tỉnh thức / thức dậy,,
baby,em bé,,
back,lưng (person),đằng sau (position),
bad,xấu / ác,,
bag,"bao, túi",,
balance,thăng bằng,,
ball,trái banh,,
band,"dàn nhạc, ban nhạc (music)",,
base,"cơ sở, nền, nền tảng",,
basin,cái chậu,,
basket,"cái rổ, cái giỏ, cái thúng",,
bath, tắm,,
be,là (is),,
beautiful,đẹp,,
because,"tại vì, bởi vì",,
become,"trở nên, trở thành",,
bed,cái giường,,
bee,con ong,,
before,trước khi,,
behaviour,"thái độ, cách cư xử, cách ăn ở",,
belief,tinh tưỡng ,,
bell,chuông,,
bent,công ,,
berry,quả mọng,,
between,giữa,,
bird,con chim,,
birth,sự sinh đẻ,,
bit,miếng / mảnh mẫu,,
bite,sự cắn,,
bitter,cay đắng,,
black,đen,,
blade,lưỡi dao,,
blood,máu / huyết,,
blow,thổi,,
blew,đã thổi,,
board,tấm ván (wood),bảng (notice),
boat,tàu,,
body,"thân thể, thể xác",,
boiling,sự sôi,,
bone,xương,,
book,sách,,
boot,giày ống,,
bottle,chai,,
box,hộp / thùng,,
boy,em trai,,
brain,óc / não,,
brake,cái hãm,,
branch,cành cây / nhánh,,
brass,đồng thau,,
bread,bánh mì,,
breath,"hơi thở, hơi",,
brick,gạch,,
bridge,cái cầu,,
bright,sáng,,
broken,bị gãy / bị vỡ,,
brother,anh,,
brown,nâu,,
brush,bàn chải,,
bucket,thùng / xô ,,
building,kiến trúc,,
bowl,chén,,
burn,"đốt, đốt cháy, thiêu",,
burst,sự nổ tung,,
business,buôn bán / kinh doanh / thương mại,,
but,nhưng,,
butter,bơ,,
button,cái nút,,
by,"gần, cạnh, kế, bên (position)","bằng, bởi, do (because)",
cake,bánh ngọt,,
camera,máy ảnh,,
canvas,vải bạt,,
card,"các, thiếp, thẻ",,
care,quan tâm / chăm sóc,,
carriage,xe ngựa,,
cart,"xe bò, xe ngựa",,
cat,con mèo,,
cause,nguyên nhân,,
certain,"chắc, chắc chắn (sure)",nào đó (type),
chain,"dây, xích",,
chalk,đá phấn,,
chance,sự tình cờ,,
change,"sự đổi, sự thay đổi, sự biến đổi",,
cheap,"rẻ, rẻ tiền",,
cheese,phó mát,,
chemical,hoá học,,
chest,"rương, hòm, tủ (box)",ngực (body),
chief,lãnh tụ,,
chin,cằm,,
church,nhà thờ,,
circle,hình tròn,,
clean,sạch,,
clear,trong (transparent),rõ ràng (simple),
clock,đồng hồ,,
cloth,vải,,
cloud,mây / đám mây,,
coal,than đá,,
coat,áo choàng ngoài,,
cold,"lạnh, lạnh lẽo, nguội",,
collar,cổ áo,,
colour,màu,,
comb,cái lược,,
comfort,sự an ủi,,
committee,uỷ ban,,
common,chung / thông thường,,
company,công ty,,
camparison,sự so sánh,,
competitition,sự cạnh tranh (business),cuộc thi đấu (sport),
complete,trọn vẹn,,
complex,phức tạp,,
condition,điều kiện (requirement),hoàn cảnh / tình thế (situation),
connection,nối (put together),sự liên lạc (talk),
conscience,lương tâm,,
control,kiểm soát,,
cook,nấu ăn,,
copper,đồng,,
copy,bản chép lại (paper),bắt chước (example),
cord,dây,,
cork,"li e, bần",,
cotton,cây bông,,
cough,ho,,
country,"nước, quốc gia",,
cover,vỏ (bag) / nắp (lid),màn che,
cow,con bò,,
crack,nứt,,
credit,công trạng (take c. for),"sự tin, lòng tin (belief)",cho nợ (money)
crime,tội ác,,
cruel,tàn nhẫn / độc ác,,
crush,sự ép / sự vắt / sự đè nát,,
cry,khóc (tears),"tiếng kêu, tiêng la (loud)",
cup,ly,,
current,"hiện thời, hiện nay",,
curtain,màng,,
curve,"cong, uốn cong",,
cushion,"cái đệm, cái nệm",,
cut,cắt,,
damage,làm hư,,
danger,nguy hiểm,,
dark,tối,,
daughter,con gái,,
day,ngày,,
dead,chết,,
dear,thân,,
death,sự chết,,
debt,nợ,,
decision,quyết định,,
deep,sâu,,
degree,mức độ,,
delicate,tế nhị,,
dependant,tùy thuộc,,
design,đề cương,,
desire,ao ước,,
destruction,hủy diệt,,
detail,chi tiết,,
develop,phát triển,,
different,khác biệt,,
digestion,tiêu hóa,,
direction,hướng dẫn,,
dirty,dơ,,
discover,tìm ra,,
discuss,thảo luận,,
disease,bệnh tật,,
disgust,ghê tởm,,
distance,khoảng cách,,
distribute,phân phát,,
divide,chia,,
do,làm,,
dog,con chó,,
door,cửa,,
doubt,nghi ngờ,,
down,xuống,,
drain,ống nước,,
drawer,tủ,,
dress,áo váy / đầm,,
drink,uống,,
driving,đang lái xe,,
drop,giọt (water),giảm / sụt (price),
dry,khô,,
dust,bụi,,
ear,tai,,
early,sớm,,
earth,trái đất,,
east,hướng đông / phía đong,,
edge ,cạnh,,
education,sự giáo dục,,
effect,ảnh hưởng,,
egg,trứng,,
elastic,dây cao su,co giãn / mềm dẻo,
electric,điện,,
end,kết thúc,,
engine,máy,,
enough,đủ,,
equal,bằng nhau,,
error,sự sai lầm,,
even,chẵn (numbers),thậm chí / ngay cả (also),bằng (surfaces)
event,biến cố,,
ever,bao giờ,,
every,mọi,,
example,gương mẫu,,
exchange,đổi / trao đổi,,
existence,tồn tại,,
expansion,sự mở rộng,,
experience,kinh nghiệm,,
expert,chuyên môn,,
eye,mắt,,
face,mặt,,
fact,sự kiện,,
fall,ngã,,
false ,sai,,
family,gia đình,,
far,xa,,
farm,nông trại / ruộng,,
fat,béo / mập,,
father,cha / ba,,
fear,sự sợ hãi,,
feather,lông vũ,,
feeble,yếu / suy nhược,,
feeling,cảm xúc / cảm giác,,
female,nữ,,
fertile,màu mở / phì nhiêu,,
fiction,điều hư cấu,,
field,cánh đồng,,
fight,trận đánh / cãi nhau / đánh lộn,,
finger,ngón tay,,
fire,lửa,,
first,thứ nhất,,
fish,con cá,,
fixed,cố định,,
flag,cờ,,
flame,ngọn lửa,,
flat,bằng phẳng (surfaces),căn phòng (residence),
flight,chuyến bay,,
floor,sàn,,
flower,hoa,,
fly,bay,,
fold,xếp,,
food,đồ ăn,,
foolish,dại dột,,
foot,bàn chân,,
for,cho,,
force,sức lực / sức mạnh (power),bắt buộc (demand),
fork,cái nĩa,,
form,đơn,,
forward,phía trước,,
fowl,"gia cầm / gà vịt, chim",,
frame,khung,,
free,miễn phí,,
frequent,thường xuyên,,
friend,bạn,,
from,từ,,
front,phía trước,,
fruit,trái cây,,
full,đầy,,
future,tương lai,,
garden,vườn,,
general,chung / tổng quát /  viên tướng,,
get,nhận đuọc (receive),tới nơi (reach),
girl,con gái,,
give,cho,,
glass,kính,,
glove,bao tay,,
go,đi,,
goat,con dê,,
gold,vàng,,
good,tốt,,
government,chính phủ,,
grain,"hạt thóc, lúa",,
grass,cỏ,,
gray,xám,,
great,lớn / vĩ đại,,
green,xanh lá cây,,
grip,nắm chặt,,
group,nhóm,,
growth,sự lớn mạnh / tăng trưởng,,
guide,hướng dẫn,,
gun,súng,,
hair,tóc,,
hammer,búa,,
hand,tay,,
hanging,treo,,
happy,vui,,
harbour,cảng / bến tàu (boats),nuôi dưỡng (thoughts),
hard,khó,,
harmony,hòa thuận / phù hợp,,
hat,cái nón / mũ,,
hate,ghét,,
have,có,,
he,"ông ấy, anh ấy, cậu ấy, chú ấy ",,
head,"đầu
",,
healthy,khỏe mạnh,,
hearing,nghe,,
heart,tim (literal),lòng (figurative),
heat,nóng,,
help,giúp,,
here,ở đây,,
high,cao,,
history,lịch sử,,
hole,lỗ,,
hollow,rỗng,,
hook,cái móc,,
hope,hy vọng,,
horn,kèn (sound),sừng (animal),
horse,con ngựa,,
hospital,bệnh viện,,
hour,giờ / tiếng,,
house,nhà,,
how,làm sao,,
humour,hài hước,,
I,tôi,,
ice,nước đá,,
idea,ý kiến,,
if,nếu,,
ill,bịnh / ốm,,
important,quan trọng,,
impulse,sức đẩy tới / sự thôi thúc,,
in,trong,,
industry,công nghiệp / kỹ nghệ,,
ink,mực,,
inspect,kiểm tra / thanh tra,,
instrument,nhạc cụ (music),dụng cụ (too)l,
insurance,bảo hiểm,,
interest,sự thích thú (interesting),tiền lời (money),
iron,sắt (element), bàn ủi / bàn là (clothes),
island,đảo,,
jelly,nước trái cây nấu đông thạch,,
jewel,đá quý,,
join,nối lại / chắp ghép (put together),tham gia (participate),
journey,cuộc hành trình,,
judge,phán xét,quan tòa / trọng tài (official),
jump,nhảy,,
keep,giữ,,
kettle,ấm đun nước ,,
key,chìa khóa,,
kick,đá,,
kind,tử tế,,
kiss,hôn,,
knee,đầu gối,,
knife,dao,,
knot,thắt nút / rối,,
knowledge,sự hiểu biết,,
land,đất,,
language,ngôn ngữ,,
last,cuối,,
late,trễ,,
laugh,cười,,
law,luật pháp,,
lead,dẫn dắt / chỉ huy (direction),,
leaf,lá cây,,
learning,học,,
leather,da (bò),,
left,trái / tả,,
leg,chân,,
let,để cho,,
letter,lá thư,,
level,mực / mức / trình độ,mặt bằng (surfaces),
library,thư viện,,
lift,nâng lên,,
light,sáng / đèn,nhẹ (weight),
like,thích (favour),giống (similar),
limit,giới hạn,,
line,đuòng kẻ / tuyến đường / hàng,,
linen,khăn trải giuòng / vải lanh,,
lip,môi,,
liquid,chất lỏng / chất nước,,
list,danh sách,,
little,nhỏ / ít,,
living,sinh sống,,
lock,khóa,,
long,dài,,
look,nhìn / xem / coi,,
loose,lỏng / cởi ra / tháo ra,,
loss,mất,,
loud,"(tiếng động) to, lớn, ồn ào",,
love,tình yêu thương,,
low,thấp,,
machine,máy / máy móc,,
make,làm,,
male,nam,,
man,đàn ông,,
manager,người giám đốc/quản lý,,
map,bản đồ,,
mark,dấu,,
market,chợ,,
married,đã kết hôn,,
mass,khối / đống /số nhiều / quần chúng,,
match,cuộc thi đấu / tương xướng / bằng,,
material,vật liệu / tài liệu / vải hàng,,
may,có thể (can),cầu mong (hope),
meal,bữa ăn,,
measure,đo / đo lường,,
meat,thịt,,
medical,y học / y khoa,,
meeting,nhóm hợp,,
memory,nhớ,,
metal,kim loại,,
middle,giữa,,
military,quân đội,,
milk,sữa,,
mind,tâm trí,,
mine,của tôi,,
minute,phút,,
mist,sương mù,,
mixed,pha trộn,,
money,tiền,,
monkey,con khỉ,,
month,tháng,,
moon,mặt trăng,,
morning,buổi sáng,,
mother,mẹ,,
motion,sự chuyển đông,,
mountain,núi,,
mouth,miệng,,
move,chuyển đông,,
much,nhiều,,
muscle,bắp thịt,,
music,nhạc,,
nail,cái đinh,,
name,tên or danh,,
narrow,hẹp,,
nation,nước,,
natural,tự nhiên,,
near,gần,,
necessary,cần thiết,,
neck,cổ,,
need,nhu cầu,,
needle,cái kim,,
nerve,thần kinh,,
net,lưới,,
new,mới,,
news,tin tức,,
night,buổi tối,,
no,không,,
noise,tiếng,,
normal,bình thường,,
north,phía bắc,,
nose,mũi,,
not,không,,
note,lời ghi,,
now,bây giờ,,
number,số,,
nut,đầu,,
observe,nhận xét,,
of,của,,
off,tắt,,
offer,mời,,
office,chức vụ,,
oil,dầu,,
old,già,,
on,trên,,
only,duy nhất,,
open,mở,,
operation,mổ,,
opinion,ý kiến,,
opposite,ngược lại,,
or,hoặc or hay là,,
orange,cam,,
order,thứ tự,,
organisation,tổ chức,,
ornament,đồ trang hoàng,,
other,khác,,
out,ra,,
oven,lò,,
over,trên (over my head),xong (finished),
owner,người chủ,,
page,trang,,
pain,đau,,
paint,sơn,,
paper,giấy,,
parallel,song song,,
parcel,gói,,
part,phần,,
past,quá khứ (in the past),qua (walk past),
paste,bột nhồi,,
payment,số tiền trả,,
piece,miếng,,
pen,cây viết,,
pencil,bút chỉ,,
person,người,,
physical,vật chất,,
picture,hình,,
pig,con heo,,
pin,đinh ghim,,
pipe,ống,,
place,nơi or chỗ,,
plane,máy bay,,
plant,chôn (plant a tree),cây (orange plant),
plate,dĩa,,
play,chơi,,
please,làm vui lòng (please a person),,
pleasure,vui thích,,
plow,cày,,
pocket,túi,,
point,điểm (good point),,
poison,chất độc,,
polish,bóng,,
political,chính trị,,
poor,nghèo,,
porter,người gác cổng,,
position,vị trí,,
possible,có thể,,
pot,nồi,,
potato,khoai tây,,
powder,bột,,
power,sức mạnh,,
present,quà (give a present),hiện tại (living in the present),
price,giá,,
print,in,,
prison,nhà tù,,
private,tư,,
probable,có thể,,
process,phương pháp,,
produce,sản xuất,làm ra,
profit,tiền lãi/lợi nhuận,,
property,tài sản,tính chất (science),"bất động sản (real estate)"
prose,văn xuôi,,
protest,sự phản đối,,
public,công cộng,,
pull,kéo,,
pump,bơm,,
punishment,sự phạt/sự trừng phạt,,
purpose,ý định,,
push,đẩy,,
put,để,,
quality,phẩm chất (things),đức tính (people),
question,câu hỏi,,
quick,nhanh/mau,,
quiet,"yên lặng/yên tĩnh",,
quite,khá,,
rail,tay vịn (pole),đi xe lửa (train),
rain,mưa,,
range,phạm vị,,
rat,"con chuột",,
rate,tỷ lệ,,
ray,tia,,
reaction,sự phản ứng,,
reading,sự đọc,,
ready,sẵn sàng,,
reason,lý do,,
receipt,giấy biên nhận,,
record,sự ghi chép,hồ sơ (have on r),kỷ lục (beat the r)
red,maù đỏ,,
regret,sự hối tiếc/sự ân hận,,
regular,đều đặn,,
relation,sự kể lại (recount),sự giao thiệp (dealings),họ hàng (family)
religion,tôn giáo/đạo,,
representative,người đại diện,,
request,lời yêu cầu,,
respect,tôn trọng/kính trọng,,
responsible,chịu trách nhiệm (take r),đáng tin cậy/có uy tín (person),
rest,nghỉ ngơi,,
reward,phần thưởng,,
rhythm,nhịp điệu ,,
rice,gạo (uncooked),cơm (cooked),
right,phải,,
ring,"cái nhẫn (jewelery)",vòng tròn (circles),điện cho (phone)
river,dòng sông,,
road,đường,,
rod,cái roi/gậy (stick),cần câu (fishing r),
role,vai trò,,
roof,mái nhà/nóc,,
room,phòng,,
root,rễ,,
rough,ráp (texture),dữ dội (fierce),
round,tròn/vòng,,
rub,xoa,,
rule,phép tắc/quy tắc (law),cai trị (r over),
run,chạy,,
sad,buồn,,
safe,an toàn,tủ sắt (bank safe),
sail,buồm,,
salt,muối,,
same,giống nhau,,
sand,cát,,
say,nói,,
scale,cái cân (measure),vảy (fish),
school,trường học,,
science,khoa học,,
scissors,cái kéo,,
screw,đinh vít/đinh ốc,,
sea ,biển,,
seat,ghế,,
second,thứ hai,,
secret,kín đáo,,
secretary,thư ký,,
see,thấy,,
seed,hạt,,
seem,có lẻ (perhaps),,
selection,sự lựa chọn,,
self,mình,,
send,"gửi, sai",,
sense,phán đoán (sense something),,
separate,riêng,,
serious,nghiêm trọng,,
servant,đày tớ,,
sex,tình dục,,
shade,bóng,,
shake,rung (cold or nerves),lắc (head),
shame,hổ thẹn,,
sharp,sắt,,
sheep,con chiên,,
shelf,giá sách,,
ship,chiếc tàu,,
shirt,áo sơ mi,,
shock,đụng chạm,,
shoe,giày,,
short,ngắn (object),lùn (person),
shut,đóng,,
side,phía bên ,,
sign,dấu,,
silk,tơ,,
silver,bạc,,
simple,đơn giản,,
sister,chị (older) ,em gái (younger),
size,kích thước,,
skin,da,,
skirt,vạt áo,,
sky,trời,,
sleep,ngủ,,
slip,trượt,,
slope,dốc,,
slow,chậm,,
small,nhỏ,,
smash,bể,,
smell,mùi,nghe mùi (smell something),
smile,cười,,
smoke,khói,,
smooth,trơn,,
snake,con rắn,,
sneeze,hắt hơi,,
snow,tuyết,,
so,vậy,,
soap,xà bông,,
society,xã hội,,
sock,dớ,,
soft,mềm,,
solid,vững chắc,,
some,vài,,
son,con trai,,
song,bài hát,,
sought,tìm,,
sound,tiếng,,
soup,xúp,,
south,phía nam,,
space,chổ,,
spade,mai,,
special,đặc biệt,,
spoon,muổn,,
spring,mùa xuân (season),suối (water),nhảy (jump)
square,vuông,,
stage,bệ,,
stamp,tem,,
star,ngôi sao,,
start,bắt đầu,,
statement,lời tuyên bố (saying),,
station,trạm,,
steam,hơi nước,,
steel,thép,,
stem,tước cọng,,
step,bước,,
stick,cái gậy (wood),,
sticky,dính,,
stiff,cứng,,
still,im,,
stitch,mũi thêu,,
stocking,băng chân,,
stomach,bụng,,
stone,đá,,
stop,ngừng,,
store,chứa đựng (store treasures),dự (keep),
story,câu chuyện,,
straight,thẳng,,
strange,lạ,,
